Protein,Mean,StDev
T1029,0.3835582208895552,0.0015604692649671301
T1027,0.46326836581709147,0.015381022885069857
T1030,0.22263868065967019,0.008645099396304947
T1032,0.3808095952023988,0.023478950169963757
T1040,0.4672663668165917,0.003120938529934229
T1099,0.3090954522738631,0.01415051987483037
T1039,0.3190904547726137,0.004580285552179731
T1073,0.5364817591204397,0.026717942904812417
T1043,0.43928035982009,0.014765903750818734
T1080,0.3908045977011494,0.006718805427160787
T1050,0.3275862068965517,0.008245877061469259
T1038,0.4020489755122439,0.0028380351553224767
T1033,0.5072463768115942,0.01813617922201306
T1031,0.3905547226386807,0.021583478334164845
T1042,0.35632183908045983,0.003846777690739805
T1067,0.35357321339330333,0.014170361697908864
T1090,0.44377811094452774,0.033364637307747955
T1041,0.5004997501249375,0.012904299184083291
T1037,0.2593703148425787,0.005405624101145406
T1074,0.4737631184407796,0.012809600817567515
T1079,0.3470764617691155,0.009745127436281864
T1054,0.4497751124437781,0.004559792001722785
T1049,0.36231884057971014,0.011475224890759675
T1026,0.4640179910044977,0.007382951875409378
T1082,0.46726636681659167,0.013520988764086632
T1046s2,0.5392303848075962,0.0095509819358403
T1035,0.40929535232383807,0.01104266856271083
T1046s1,0.48825587206396803,0.016514454414650995
T1056,0.4745127436281859,0.032442406309418886
