Protein,1,2,3
T1029,0.05172413793103448,0.049475262368815595,0.05322338830584707
T1027,0.017241379310344827,0.015742128935532233,0.01424287856071964
T1030,0.03223388305847077,0.02848575712143928,0.035982008995502246
T1032,0.11394302848575712,0.0944527736131934,0.10569715142428786
T1040,0.10794602698650675,0.11169415292353824,0.10794602698650675
T1099,0.13268365817091454,0.12893553223388307,0.12143928035982009
T1039,0.05322338830584707,0.04572713643178411,0.053973013493253376
T1073,0.1671664167916042,0.17916041979010494,0.15067466266866567
T1043,0.09220389805097451,0.08620689655172414,0.0944527736131934
T1080,0.2683658170914543,0.2608695652173913,0.24962518740629686
T1050,0.24212893553223389,0.2556221889055472,0.24062968515742128
T1038,0.23013493253373313,0.25262368815592207,0.24962518740629686
T1033,0.3575712143928036,0.3598200899550225,0.34257871064467765
T1031,0.10269865067466268,0.08395802098950525,0.07871064467766117
T1042,0.12218890554722639,0.11019490254872563,0.12443778110944528
T1067,0.20314842578710646,0.21739130434782608,0.21064467766116943
T1090,0.17841079460269865,0.18065967016491755,0.1874062968515742
T1041,0.32083958020989506,0.34407796101949023,0.30434782608695654
T1037,0.07721139430284858,0.09070464767616192,0.0944527736131934
T1074,0.18515742128935533,0.17991004497751126,0.17691154422788605
T1079,0.07721139430284858,0.068215892053973,0.0734632683658171
T1054,0.15967016491754124,0.14767616191904048,0.15517241379310345
T1049,0.11544227886056972,0.13118440779610194,0.1176911544227886
T1026,0.1634182908545727,0.16041979010494753,0.17166416791604197
T1082,0.21064467766116943,0.1671664167916042,0.1671664167916042
T1046s2,0.5067466266866567,0.5232383808095952,0.5
T1035,0.2376311844077961,0.2331334332833583,0.2391304347826087
T1046s1,0.25862068965517243,0.280359820089955,0.25262368815592207
T1056,0.4257871064467766,0.40554722638680657,0.3875562218890555
