GDT_TS,Mean,StDev
45.2,17.35839344,0.402792766
61.11,14.94827495,1.20081327
63.55,15.16032189,0.664004501
69.12,14.41728056,0.590936962
72.11,12.47547133,0.631316402
80.34,12.29119652,0.129839993
82.3,12.99075354,0.329270393
83.9,12.52728241,0.239733584
84.12,11.87848903,0.211885201
85.9,11.36361695,0.138437835
86.28,10.98182659,0.152816226
87.37,10.48886194,0.150600667
87.5,9.982087133,0.215094358
87.63,10.00524358,0.091496728
89.49,10.08769666,0.014438704
90.39,9.933494924,0.089723413
90.48,9.384322832,0.189958723
90.7,8.842606929,0.235527453
90.72,8.966058161,0.132653932
91.1,8.826138549,0.15903805
92.18,8.807555484,0.04750727
92.66,8.920645315,0.033739244
93.28,9.0824112,0.064765421
93.84,9.063623493,0.042029876
96,8.920879039,0.036068172
96.45,8.569106826,0.125719919
96.81,8.452785411,0.002182804
97.57,8.30164902,0.100203023
98.08,7.887995508,0.148620086
