GDT_TS,Mean,StDev
45.2,2.523058216,0.035507013
61.11,2.452087604,0.01425586
63.55,2.458948812,0.012827562
69.12,2.433742871,0.023140379
72.11,2.371682906,0.02375967
80.34,2.377094098,0.02452232
82.3,2.394798428,0.006139343
83.9,2.396705377,0.007058889
84.12,2.417284264,0.017707948
85.9,2.353098153,0.039107378
86.28,2.304714427,0.004177956
87.37,2.296066807,0.004449768
87.5,2.260661115,0.01563384
87.63,2.211934084,0.022824289
89.49,2.237431478,0.015000294
90.39,2.208521112,0.025791597
90.48,2.161796968,0.01201647
90.7,2.095806206,0.02789526
90.72,2.086303005,0.006332952
91.1,2.055677473,0.021252658
92.18,2.036621316,0.002762328
92.66,2.03753807,0.002740553
93.28,2.00524386,0.018783182
93.84,1.977512517,0.000924982
96,1.979370631,0.006020276
96.45,1.935104521,0.019205473
96.81,1.90682698,0.009822396
97.57,1.88388849,0.012795176
98.08,1.861366202,0.001059138
