GDT_TS,Mean,StDev
45.2,6.028776797,0.022915579
61.11,5.614444535,0.161688535
63.55,5.524490934,0.023454086
69.12,5.388612299,0.093037759
72.11,5.07564679,0.09834279
80.34,4.954588026,0.013916856
82.3,4.984218851,0.017138025
83.9,4.739561622,0.133677845
84.12,4.440341084,0.088105962
85.9,4.213283854,0.06147362
86.28,4.084992797,0.045976623
87.37,4.073666919,0.005651689
87.5,4.000458951,0.051735153
87.63,3.915925559,0.013395053
89.49,3.894534224,0.005842991
90.39,3.80416497,0.029366937
90.48,3.670538073,0.047867732
90.7,3.479664756,0.06638754
90.72,3.449852046,0.021927778
91.1,3.367885439,0.036856483
92.18,3.296766587,0.018722662
92.66,3.168750416,0.050870759
93.28,3.110342937,0.004156498
93.84,3.041864037,0.035555222
96,2.949698673,0.026248029
96.45,2.845682586,0.03424055
96.81,2.770863498,0.021890864
97.57,2.705056692,0.007351692
98.08,2.60976539,0.035718
