Protein,Median,StDev
T1029,0.48125937031484256,0.012370708440266434
T1027,0.39205397301349326,0.017360473455953783
T1030,0.22563718140929534,0.017263093902464655
T1032,0.431784107946027,0.006105343189840385
T1040,0.4032983508245877,0.003773030702284247
T1099,0.3230884557721139,0.013248092095763683
T1039,0.32083958020989506,0.006535080874873566
T1073,0.4077961019490255,0.014190175776612371
T1043,0.31334332833583206,0.015017470466083682
T1080,0.4490254872563718,0.0047607593411438534
T1050,0.30359820089955025,0.0115403330722194
T1038,0.42653673163418293,0.022123470110005556
T1033,0.5067466266866567,0.012483754119736916
T1031,0.36731634182908546,0.009916609111936254
T1042,0.3103448275862069,0.003120938529934229
T1067,0.37631184407796103,0.007508735233041841
T1090,0.4002998500749625,0.0057253569402246855
T1041,0.43103448275862066,0.009372813260125444
T1037,0.29535232383808097,0.008837950616605384
T1074,0.46776611694152925,0.004128613603662729
T1079,0.37106446776611696,0.007150968526363929
T1054,0.35007496251874065,0.00801549971631456
T1049,0.5464767616191905,0.014360752669166464
T1026,0.43478260869565216,0.012187654570971696
T1082,0.37106446776611696,0.017912748343850857
T1046s2,0.5577211394302849,0.00875276356228732
T1035,0.41829085457271364,0.011352140621289926
T1046s1,0.5172413793103449,0.013930394667432644
T1056,0.4370314842578711,0.01290429918408332
