Protein,Median,StDev
T1029,0.05172413793103448,0.0018865153511421133
T1027,0.015742128935532233,0.0014992503748125939
T1030,0.03223388305847077,0.0037481259370314834
T1032,0.10569715142428786,0.009783494228111889
T1040,0.10794602698650675,0.002163981518701746
T1099,0.12893553223388307,0.005725356940224691
T1039,0.05322338830584707,0.0045597920017228025
T1073,0.1671664167916042,0.01430193705272782
T1043,0.09220389805097451,0.00426254925268165
T1080,0.2608695652173913,0.00943257675571059
T1050,0.24212893553223389,0.008257227207325489
T1038,0.24962518740629686,0.01221068637968079
T1033,0.3575712143928036,0.009372813260125476
T1031,0.08395802098950525,0.01261064755716696
T1042,0.12218890554722639,0.007656948248897838
T1067,0.21064467766116943,0.00712472635151586
T1090,0.18065967016491755,0.0046814077949013395
T1041,0.32083958020989506,0.019960310278402296
T1037,0.09070464767616192,0.009068089611006521
T1074,0.17991004497751126,0.004173736403920565
T1079,0.0734632683658171,0.004518526066972802
T1054,0.15517241379310345,0.006059148252364892
T1049,0.1176911544227886,0.008514105465967418
T1026,0.1634182908545727,0.005822678759485773
T1082,0.1671664167916042,0.02510218561694025
T1046s2,0.5067466266866567,0.011954896265772778
T1035,0.2376311844077961,0.0031209385299342403
T1046s1,0.25862068965517243,0.014593644927984834
T1056,0.40554722638680657,0.019126463001758718
