Protein,Median,StDev
T1029,0.3830584707646177,0.0015604692649671301
T1027,0.4625187406296852,0.015381022885069857
T1030,0.22338830584707647,0.008645099396304947
T1032,0.3695652173913043,0.023478950169963757
T1040,0.4662668665667166,0.003120938529934229
T1099,0.3058470764617691,0.01415051987483037
T1039,0.32008995502248877,0.004580285552179731
T1073,0.5337331334332833,0.026717942904812417
T1043,0.44377811094452774,0.014765903750818734
T1080,0.39430284857571213,0.006718805427160787
T1050,0.3275862068965517,0.008245877061469259
T1038,0.4032983508245877,0.0028380351553224767
T1033,0.5007496251874063,0.01813617922201306
T1031,0.3808095952023988,0.021583478334164845
T1042,0.3553223388305847,0.003846777690739805
T1067,0.348575712143928,0.014170361697908864
T1090,0.444527736131934,0.033364637307747955
T1041,0.4962518740629685,0.012904299184083291
T1037,0.2608695652173913,0.005405624101145406
T1074,0.47226386806596704,0.012809600817567515
T1079,0.34707646176911544,0.009745127436281864
T1054,0.44752623688155924,0.004559792001722785
T1049,0.36656671664167917,0.011475224890759675
T1026,0.4662668665667166,0.007382951875409378
T1082,0.4662668665667166,0.013520988764086632
T1046s2,0.5344827586206896,0.0095509819358403
T1035,0.4032983508245877,0.01104266856271083
T1046s1,0.487256371814093,0.016514454414650995
T1056,0.4625187406296852,0.032442406309418886
