Protein,1-2,1-3,2-3
T1029,0.3823088455772114,0.3853073463268366,0.3830584707646177
T1027,0.4790104947526237,0.4482758620689655,0.4625187406296852
T1030,0.22338830584707647,0.2136431784107946,0.23088455772113944
T1032,0.4077961019490255,0.3650674662668666,0.3695652173913043
T1040,0.4707646176911544,0.46476761619190404,0.4662668665667166
T1099,0.32458770614692656,0.29685157421289354,0.3058470764617691
T1039,0.3230884557721139,0.32008995502248877,0.3140929535232384
T1073,0.5644677661169415,0.5112443778110944,0.5337331334332833
T1043,0.4512743628185907,0.42278860569715143,0.44377811094452774
T1080,0.39430284857571213,0.3830584707646177,0.3950524737631184
T1050,0.335832083958021,0.3193403298350825,0.3275862068965517
T1038,0.404047976011994,0.3988005997001499,0.4032983508245877
T1033,0.527736131934033,0.49325337331334335,0.5007496251874063
T1031,0.41529235382308843,0.37556221889055474,0.3808095952023988
T1042,0.3605697151424288,0.3530734632683658,0.3553223388305847
T1067,0.3695652173913043,0.348575712143928,0.34257871064467765
T1090,0.4767616191904048,0.444527736131934,0.41004497751124436
T1041,0.5149925037481259,0.49025487256371814,0.4962518740629685
T1037,0.2638680659670165,0.2608695652173913,0.25337331334332835
T1074,0.487256371814093,0.4617691154422789,0.47226386806596704
T1079,0.34707646176911544,0.3373313343328336,0.3568215892053973
T1054,0.4550224887556222,0.44677661169415295,0.44752623688155924
T1049,0.37106446776611696,0.36656671664167917,0.3493253373313343
T1026,0.4662668665667166,0.4700149925037481,0.45577211394302847
T1082,0.48125937031484256,0.4662668665667166,0.4542728635682159
T1046s2,0.5502248875562219,0.532983508245877,0.5344827586206896
T1035,0.42203898050974514,0.4032983508245877,0.4025487256371814
T1046s1,0.5052473763118441,0.47226386806596704,0.487256371814093
T1056,0.5112443778110944,0.4497751124437781,0.4625187406296852
