GDT_TS,Median,
45.2,17.2709561,
61.11,14.3839355,
63.55,14.9503385,
69.12,14.348228,
72.11,12.3132261,
80.34,12.1964272,
82.3,12.9433411,
83.9,12.4536298,
84.12,11.7730544,
85.9,11.2842288,
86.28,10.8907662,
87.37,10.3573117,
87.5,9.90727169,
87.63,9.90784907,
89.49,9.99179742,
90.39,9.82241469,
90.48,9.25151998,
90.7,8.77713818,
90.72,8.85011886,
91.1,8.71486844,
92.18,8.6804383,
92.66,8.81783992,
93.28,8.9850466,
93.84,8.9737737,
96,8.82338712,
96.45,8.44632163,
96.81,8.35129113,
97.57,8.18907422,
98.08,7.79870975,
