GDT_TS,Median,StDev
45.2,17.37371243,0.402792766
61.11,14.48675539,1.20081327
63.55,15.0539082,0.664004501
69.12,14.45170772,0.590936962
72.11,12.41647571,0.631316402
80.34,12.299882,0.129839993
82.3,13.04684772,0.329270393
83.9,12.55666232,0.239733584
84.12,11.87572352,0.211885201
85.9,11.38726133,0.138437835
86.28,10.99407653,0.152816226
87.37,10.46094913,0.150600667
87.5,10.01026165,0.215094358
87.63,10.01026165,0.091496728
89.49,10.09412801,0.014438704
90.39,9.925298254,0.089723413
90.48,9.354714329,0.189958723
90.7,8.880332534,0.235527453
90.72,8.953756311,0.132653932
91.1,8.818810862,0.15903805
92.18,8.784816141,0.04750727
92.66,8.921868539,0.033739244
93.28,9.089015391,0.064765421
93.84,9.07734507,0.042029876
96,8.926581469,0.036068172
96.45,8.549205186,0.125719919
96.81,8.453495504,0.002182804
97.57,8.291301481,0.100203023
98.08,7.901436083,0.148620086
