GDT_TS,Median,StDev
45.2,0.102756315,0.000108203
61.11,0.102819939,7.91E-05
63.55,0.103569729,0.000332172
69.12,0.103479725,3.89E-05
72.11,0.103249637,3.19E-05
80.34,0.10345482,0.00022839
82.3,0.10350662,1.55E-05
83.9,0.103032525,0.00016992
84.12,0.102669089,0.000153178
85.9,0.103032525,0.000269142
86.28,0.103310289,0.000213578
87.37,0.103637453,1.91E-05
87.5,0.102989961,0.000360839
87.63,0.102412579,0.000232779
89.49,0.102330594,4.73E-05
90.39,0.102883562,0.000296099
90.48,0.10319435,0.00016264
90.7,0.10319435,7.74E-05
90.72,0.103637453,0.000129232
91.1,0.103942417,0.000156109
92.18,0.104377838,0.000271367
92.66,0.104028623,0.000218801
93.28,0.103968787,1.58E-05
93.84,0.10357137,0.000104024
96,0.10319435,0.000109272
96.45,0.102883562,0.000153115
96.81,0.102204367,0.000204625
97.57,0.102227261,0.000182415
98.08,0.102726332,0.000190392
