Protein,1-2,1-3,2-3
T1029,0.10275631541754926,0.1027263322024945,0.1029269297678681
T1027,0.10281993861767802,0.10288356181780678,0.1027263322024945
T1030,0.10305542539378898,0.10356972902384198,0.10367676575965845
T1032,0.1034797252021118,0.10350662040038738,0.1034299154532885
T1040,0.10319435011733002,0.1032496371333318,0.1032496371333318
T1099,0.10315584804596467,0.10345482032770015,0.10360441142369003
T1039,0.10350662040038738,0.1034797252021118,0.10350662040038738
T1073,0.10315584804596467,0.10303252520142214,0.10281993861767802
T1043,0.10266908869840385,0.1026858932895025,0.10241257904509249
T1080,0.10271451504154783,0.10303252520142214,0.1032496371333318
T1050,0.10305542539378898,0.10331028860279767,0.1034797252021118
T1038,0.10363745321126228,0.10360441142369003,0.10363745321126228
T1033,0.1034299154532885,0.10298996136349237,0.10271451504154783
T1031,0.10266908869840385,0.10241257904509249,0.10220436654741061
T1042,0.10233059399284494,0.10233059399284494,0.10241257904509249
T1067,0.10274132381002188,0.10288356181780678,0.10331028860279767
T1090,0.10315584804596467,0.10319435011733002,0.10345482032770015
T1041,0.10319435011733002,0.10330492414933357,0.10315584804596467
T1037,0.1034797252021118,0.10363745321126228,0.10373591504632063
T1074,0.10368729972484991,0.10394241656398417,0.10397073300832949
T1079,0.10402862251852785,0.10437783819361268,0.10456303033867842
T1054,0.10437035412139117,0.10402862251852785,0.10396276901308887
T1049,0.10394241656398417,0.10396878722714398,0.10397073300832949
T1026,0.10368729972484991,0.1035713696361178,0.1034797252021118
T1082,0.10330492414933357,0.10308638568419415,0.10319435011733002
T1046s2,0.10303252520142214,0.10288356181780678,0.1027263322024945
T1035,0.10255878826188702,0.10220436654741061,0.10220436654741061
T1046s1,0.10206736803294447,0.10222726069977295,0.10243130639100029
T1056,0.10241257904509249,0.1027263322024945,0.10275631541754926
