Protein,Median,StDev
T1029,0.10153418762163113,0.0004547995688561182
T1027,0.10113420012406937,0.00021676338111649272
T1030,0.1018041799862015,0.0006166104269469767
T1032,0.10176008797771896,0.00024445472178597676
T1040,0.1017868024843338,0.00019093329225397987
T1099,0.10215402086341996,2.9067094204537086e-05
T1039,0.10375396289539163,0.0006026881534727131
T1073,0.1040364498631896,6.431286762736132e-05
T1043,0.10389395541507929,3.625493182998707e-05
T1080,0.10395675079903377,4.6014276144533133e-05
T1050,0.10398217021562539,3.133836913271747e-05
T1038,0.10399166164173579,5.949291867691658e-05
T1033,0.10360441142369003,0.0002576996732213236
T1031,0.1034299154532885,5.52131412129432e-05
T1042,0.10376449686058309,0.00016716103651999138
T1067,0.10408403304356462,0.00021474543845772533
T1090,0.10441801522221361,2.9395770230969763e-05
T1041,0.10407341073998166,6.741908376513763e-05
T1037,0.10475079438051793,0.0004717430446360107
T1074,0.10460093417077587,0.00020903376260187086
T1079,0.10530910439510066,0.0004220659723181714
T1054,0.10610031996067626,0.0001238277204729949
T1049,0.10531658278269873,0.00036963004790421507
T1026,0.10441801522221361,3.0643698986794285e-05
T1082,0.10438758701568629,0.0001066157093931517
T1046s2,0.10345482032770015,0.0005697003480562734
T1035,0.10233059399284494,0.0002389065806521653
T1046s1,0.10175716819080849,7.92207750143082e-06
T1056,0.10233059399284494,0.00042943796608217873
