Protein,Median,StDev
T1029,17.373712429972706,0.4027927661988957
T1027,14.486755388509984,1.2008132698520322
T1030,15.05390820294656,0.6640045011421593
T1032,14.451707719116605,0.5909369621502971
T1040,12.416475712333636,0.631316401963937
T1099,12.299882000489403,0.1298399931463462
T1039,13.046847719368312,0.32927039324323887
T1073,12.55666231611775,0.2397335838993792
T1043,11.87572352331389,0.21188520133542188
T1080,11.387261326440587,0.13843783476201102
T1050,10.994076527477901,0.1528162261733318
T1038,10.460949126151288,0.15060066741860084
T1033,10.010261647841467,0.21509435818775488
T1031,10.010261647841467,0.09149672769753572
T1042,10.094128011478379,0.014438703987120435
T1067,9.925298253794445,0.08972341330253222
T1090,9.354714329373536,0.18995872348547346
T1041,8.880332533575755,0.23552745349433862
T1037,8.953756311247425,0.13265393224808247
T1074,8.81881086207076,0.15903804988910641
T1079,8.784816141026383,0.04750727019958209
T1054,8.921868538863837,0.03373924350046688
T1049,9.089015391326235,0.06476542117768225
T1026,9.077345070016285,0.04202987586436246
T1082,8.926581468797702,0.03606817183870443
T1046s2,8.549205185993285,0.12571991898058482
T1035,8.453495503876734,0.002182803916793967
T1046s1,8.291301481261389,0.10020302335229758
T1056,7.901436083113471,0.14862008629492365
