GDT_TS,Median
45.2,16.525425
61.11,11.8203552
63.55,12.3514663
69.12,10.5458782
72.11,8.44000432
80.34,7.83392935
82.3,8.33751825
83.9,8.29165727
84.12,8.10870992
85.9,7.29870258
86.28,6.35876213
87.37,6.3974581
87.5,6.11029818
87.63,6.13376323
89.49,6.76380743
90.39,6.58351737
90.48,5.98256868
90.7,5.09459632
90.72,5.19653621
91.1,4.91545608
92.18,5.05681379
92.66,5.05220216
93.28,5.26830489
93.84,5.19936369
96,5.24361533
96.45,4.92224395
96.81,4.59936443
97.57,4.60620791
98.08,4.26107207
