GDT_TS,Median
45.2,13.091331
61.11,8.74040634
63.55,9.31375797
69.12,7.64124258
72.11,5.76828074
80.34,5.29083559
82.3,5.75138836
83.9,5.97900865
84.12,6.10531221
85.9,5.46141083
86.28,4.6287103
87.37,4.6317928
87.5,4.39471865
87.63,4.44918736
89.49,5.13671083
90.39,5.0149691
90.48,4.50338873
90.7,3.75400277
90.72,3.84973368
91.1,3.61886458
92.18,3.8097094
92.66,3.94532294
93.28,4.18070696
93.84,4.17176837
96,4.29899273
96.45,4.02757641
96.81,3.77265369
97.57,3.80817717
98.08,3.52894469
