GDT_TS,2-Jan,3-Jan,3-Feb
45.2,2.508749001,2.470784156,2.454452573
61.11,2.43847013,2.421328537,2.38854816
63.55,2.405445385,2.426625718,2.445637401
69.12,2.421328537,2.390108615,2.360911273
72.11,2.346776647,2.326379265,2.309525125
80.34,2.311673232,2.33914407,2.347683012
82.3,2.348983912,2.348671476,2.33914407
83.9,2.345538439,2.348671476,2.349612068
84.12,2.354648653,2.365180365,2.39237236
85.9,2.347683012,2.316210545,2.294244657
86.28,2.285978272,2.268621123,2.268621123
87.37,2.266310908,2.261883419,2.254437897
87.5,2.248555183,2.216677095,2.179534286
87.63,2.169182852,2.161847056,2.15232757
89.49,2.164020991,2.171493252,2.188057563
90.39,2.170778784,2.157682714,2.148581894
90.48,2.143267846,2.132210933,2.117063297
90.7,2.083312443,2.067541942,2.03477132
90.72,2.042124443,2.05411624,2.066715509
91.1,2.040378159,2.026065284,2.003346293
92.18,2.003399227,2.009948478,2.003026251
92.66,2.003346293,2.008010859,2.01309632
93.28,1.997298105,1.977764414,1.957450413
93.84,1.951443641,1.950064681,1.9494095
96,1.948506641,1.950756796,1.955380242
96.45,1.929830801,1.902866448,1.885099256
96.81,1.885099256,1.880493764,1.867764414
97.57,1.861873026,1.86083402,1.849714429
98.08,1.838642556,1.837845004,1.827885642
