GDT_TS,2-Jan,3-Jan,3-Feb
45.2,5.960976756,5.9048782,5.871487968
61.11,5.699434172,5.501277352,5.379772647
63.55,5.430517446,5.46433406,5.467841364
69.12,5.398157686,5.294744189,5.196364495
72.11,5.106500462,4.998102849,4.927583783
80.34,4.882237832,4.884898718,4.856629811
82.3,4.884898718,4.934801374,4.93866807
83.9,4.804924217,4.661320101,4.541497711
84.12,4.457497836,4.368578084,4.259720445
85.9,4.197567494,4.153502297,4.076929922
86.28,4.061168462,3.998672946,3.946776154
87.37,3.978601368,4.027548723,4.027548723
87.5,3.947389891,3.932256633,3.905414216
87.63,3.888743155,3.84642293,3.827133911
89.49,3.819592897,3.798589846,3.790123837
90.39,3.74754995,3.726230984,3.709693398
90.48,3.656462696,3.611390875,3.546249492
90.7,3.479596087,3.408135492,3.380826759
90.72,3.38815143,3.400918769,3.400918769
91.1,3.360515924,3.322656775,3.293836219
92.18,3.280517624,3.250503622,3.221785874
92.66,3.146459692,3.114890084,3.080804311
93.28,3.073569043,3.065362343,3.062709835
93.84,3.027511319,2.977660003,2.959832199
96,2.928760538,2.895379395,2.872052477
96.45,2.830934417,2.797533993,2.753162464
96.81,2.724212262,2.7072045,2.690081116
97.57,2.665298728,2.658864756,2.641974348
98.08,2.596459283,2.569972378,2.529487689
