GDT_TS,Median,StDev
45.2,2.470784156,0.027857231
61.11,2.421328537,0.025365957
63.55,2.426625718,0.020105757
69.12,2.390108615,0.030214274
72.11,2.326379265,0.018653825
80.34,2.33914407,0.01881606
82.3,2.348671476,0.005593025
83.9,2.348671476,0.002132881
84.12,2.365180365,0.019465352
85.9,2.316210545,0.026859741
86.28,2.268621123,0.010021155
87.37,2.261883419,0.006000095
87.5,2.216677095,0.034543897
87.63,2.161847056,0.008451184
89.49,2.171493252,0.012301544
90.39,2.157682714,0.01115821
90.48,2.132210933,0.013155383
90.7,2.067541942,0.024761742
90.72,2.05411624,0.012296783
91.1,2.026065284,0.01867427
92.18,2.003399227,0.00389335
92.66,2.008010859,0.004876527
93.28,1.977764414,0.01992512
93.84,1.950064681,0.00103831
96,1.950756796,0.003504422
96.45,1.902866448,0.022522805
96.81,1.880493764,0.008979084
97.57,1.86083402,0.006739885
98.08,1.837845004,0.005993554
