Protein,1,2,3
T1029,18.875626939581274,19.09850600042653,18.99620917115412
T1027,16.2840825348965,13.169106277581799,14.241683691461166
T1030,13.94789586411856,16.16189482988578,14.778092034329607
T1032,14.386339665960735,12.390627488098753,12.935986765267657
T1040,11.576165709179145,10.221871235009766,10.766383588398044
T1099,10.173073421263938,10.05138227324067,10.173073421263938
T1039,10.380760640586999,11.157907752286587,10.686189732548888
T1073,10.851352256695886,10.498705150258377,10.640328745501778
T1043,10.473890288293191,10.425208271716171,10.478867130465806
T1080,10.152709295245264,9.115009464764046,9.614913132903503
T1050,8.886578952893208,8.5356398272734,8.627383251405423
T1038,8.676209816111996,8.5356398272734,8.659341519856781
T1033,8.404929386905472,8.207893072532647,8.326975278611988
T1031,8.295610291123978,8.390090801441467,8.295610291123978
T1042,8.627383251405423,9.049436798867546,8.935300680927995
T1067,8.92754907887458,8.503244452517926,8.741200079652149
T1090,8.350410737247289,7.7241850990712155,8.11477960963593
T1041,7.323243738260862,6.70261855251624,7.162138257334045
T1037,6.99673093518121,7.459332969104246,7.250652448705617
T1074,7.250652448705617,6.72038851925798,6.941521356809503
T1079,6.883308408906067,7.169017149838229,7.060213023108833
T1054,7.09367261773845,7.038693203195461,7.060213023108833
T1049,7.169017149838229,7.323243738260862,7.2460692997910225
T1026,7.23754295722147,7.120136549252425,7.149428364627958
T1082,7.120136549252425,7.250652448705617,7.194372126306044
T1046s2,7.072638727926641,6.619798773080957,6.82511039774516
T1035,6.546558804127111,6.463450670816071,6.4798581925171375
T1046s1,6.470722129218112,6.4477513165362215,6.467041933284682
T1056,6.275893290885724,5.97497769110767,6.0989170681455365
