Ligand,RMSD
ECMDB00045,0.0165
ECMDB00048,0.0461
ECMDB00055,0.0609
ECMDB00058,0.0028
ECMDB00061,0.0544
ECMDB00082,0.6358
ECMDB00095,0.0223
ECMDB00121,1.8945
ECMDB00125,0.6369
ECMDB00163,0.0203
ECMDB00186,0.8354
ECMDB00189,1.0366
ECMDB00217,2.2659
ECMDB00218,0.0604
ECMDB00229,0.1784
ECMDB00241,0.2759
ECMDB00244,1.2396
ECMDB00258,0.0027
ECMDB00280,1.7176
ECMDB00285,1.3246
ECMDB00288,0.1331
ECMDB00290,3.5836
ECMDB00293,0.6951
ECMDB00295,0.0397
ECMDB00302,0.1536
ECMDB00538,1.6446
ECMDB00570,0.6622
ECMDB00674,3.3135
ECMDB00797,0.3830
ECMDB00830,0.0666
ECMDB00902,2.8816
ECMDB00905,0.0520
ECMDB00939,0.1753
ECMDB00960,0.4623
ECMDB00961,2.8663
ECMDB00972,0.1202
ECMDB00975,1.7113
ECMDB00988,0.2378
ECMDB00998,1.4004
ECMDB00999,1.8697
ECMDB01000,0.9255
ECMDB01003,0.1785
ECMDB01044,0.1037
ECMDB01056,1.5217
ECMDB01058,0.0525
ECMDB01060,4.7350
ECMDB01062,0.0170
ECMDB01066,2.0335
ECMDB01079,1.7995
ECMDB01094,2.7777
ECMDB01095,3.5459
ECMDB01097,0.7569
ECMDB01117,1.2470
ECMDB01121,0.0525
ECMDB01124,0.0515
ECMDB01134,0.0455
ECMDB01142,0.1086
ECMDB01144,2.6524
ECMDB01163,0.9844
ECMDB01174,2.1468
ECMDB01178,4.1823
ECMDB01179,1.7706
ECMDB01185,3.1983
ECMDB01191,0.8754
ECMDB01193,2.5528
ECMDB01197,6.6658
ECMDB01201,1.5708
ECMDB01202,0.0165
ECMDB01227,1.3842
ECMDB01245,0.0578
ECMDB01248,2.9911
ECMDB01261,1.1815
ECMDB01262,0.9185
ECMDB01271,0.0116
ECMDB01273,2.4068
ECMDB01274,0.5405
ECMDB01285,0.8985
ECMDB01296,1.3014
ECMDB01308,0.7419
ECMDB01317,0.0253
ECMDB01328,4.1928
ECMDB01332,0.1670
ECMDB01341,0.1935
ECMDB01342,0.6060
ECMDB01346,1.8333
ECMDB01354,0.6300
ECMDB01367,0.0422
ECMDB01372,0.2017
ECMDB01373,2.4437
ECMDB01384,2.6939
ECMDB01391,1.5593
ECMDB01396,0.1413
ECMDB01397,1.6092
ECMDB01399,1.5728
ECMDB01409,0.0300
ECMDB01412,0.0529
ECMDB01416,2.3301
ECMDB01423,4.9632
ECMDB01439,0.0283
ECMDB01440,0.8181
ECMDB01487,2.1477
ECMDB01517,0.0291
ECMDB01520,0.6757
ECMDB01532,0.6238
ECMDB01546,0.0735
ECMDB01550,0.7616
ECMDB01554,0.0756
ECMDB01562,0.6934
ECMDB01846,0.2197
ECMDB02158,0.6877
ECMDB02666,0.1058
ECMDB03266,1.9593
ECMDB03335,0.0850
ECMDB03419,2.0074
ECMDB03502,0.6755
ECMDB03514,0.0428
ECMDB03536,1.2980
ECMDB03540,0.0138
ECMDB03556,0.0600
ECMDB03826,0.1232
ECMDB03882,0.0380
ECMDB04007,0.0222
ECMDB04010,0.1155
ECMDB04033,0.5608
ECMDB04034,0.0053
ECMDB04052,0.0447
ECMDB04053,1.4246
ECMDB04063,0.1126
ECMDB04085,1.2253
ECMDB04108,0.6088
ECMDB04111,2.0149
ECMDB04117,2.2549
ECMDB04119,6.1013
ECMDB04120,5.6295
ECMDB04137,0.4281
ECMDB04138,0.7883
ECMDB04165,3.3877
ECMDB04166,0.1357
ECMDB04167,2.9862
ECMDB04168,3.3542
ECMDB04169,0.5661
ECMDB04171,3.0294
ECMDB04220,2.0219
ECMDB04662,1.0681
ECMDB06273,0.0116
ECMDB06354,2.4366
ECMDB06555,1.0294
ECMDB06557,0.7284
ECMDB06823,1.1054
ECMDB06834,1.1102
ECMDB06872,0.5186
ECMDB06876,2.6436
ECMDB07858,4.7658
ECMDB07859,3.1545
ECMDB07860,3.0244
ECMDB07861,3.9308
ECMDB07862,2.1690
ECMDB07863,4.6563
ECMDB07864,3.7381
ECMDB07865,4.2314
ECMDB08821,4.7099
ECMDB08824,2.5209
ECMDB08827,3.0465
ECMDB08920,2.8875
ECMDB08923,2.3155
ECMDB08924,3.3451
ECMDB08953,3.5549
ECMDB08956,3.0512
ECMDB08957,3.0903
ECMDB08959,2.9943
ECMDB09019,2.1420
ECMDB09022,4.3427
ECMDB09023,4.0263
ECMDB10573,2.5232
ECMDB10615,2.6207
ECMDB10616,3.0023
ECMDB10618,3.6438
