Ligand,RMSD
ECMDB00045,0.8090
ECMDB00048,1.0754
ECMDB00055,0.0268
ECMDB00058,0.0149
ECMDB00061,0.5764
ECMDB00082,2.7760
ECMDB00095,0.6243
ECMDB00121,1.1263
ECMDB00125,1.3459
ECMDB00163,1.5106
ECMDB00186,0.0127
ECMDB00189,0.8172
ECMDB00217,1.8657
ECMDB00218,0.4795
ECMDB00229,0.1216
ECMDB00241,0.9185
ECMDB00244,1.8917
ECMDB00258,0.4071
ECMDB00280,0.6042
ECMDB00285,1.6768
ECMDB00288,0.0969
ECMDB00290,3.5495
ECMDB00293,3.0904
ECMDB00295,1.8247
ECMDB00302,3.3256
ECMDB00538,1.7022
ECMDB00570,1.2648
ECMDB00674,5.7090
ECMDB00797,1.3710
ECMDB00830,0.5596
ECMDB00902,3.2348
ECMDB00905,1.4787
ECMDB00939,0.5397
ECMDB00960,1.5169
ECMDB00961,2.5434
ECMDB00972,1.1343
ECMDB00975,0.0574
ECMDB00988,0.2645
ECMDB00998,1.3703
ECMDB00999,1.0745
ECMDB01000,1.5407
ECMDB01003,1.4966
ECMDB01044,0.6232
ECMDB01056,2.1003
ECMDB01058,0.1362
ECMDB01060,2.4297
ECMDB01062,0.0636
ECMDB01066,1.9153
ECMDB01079,1.3178
ECMDB01094,5.3947
ECMDB01095,2.0622
ECMDB01097,0.3423
ECMDB01117,1.8707
ECMDB01121,0.0585
ECMDB01124,1.0232
ECMDB01134,1.0429
ECMDB01142,1.5843
ECMDB01144,3.4284
ECMDB01163,2.3550
ECMDB01174,1.4025
ECMDB01178,2.4704
ECMDB01179,3.0838
ECMDB01185,0.5084
ECMDB01191,2.5356
ECMDB01193,2.1822
ECMDB01197,2.6024
ECMDB01201,2.8800
ECMDB01202,1.6102
ECMDB01227,0.7488
ECMDB01245,0.3711
ECMDB01248,1.9682
ECMDB01261,0.8542
ECMDB01262,0.1895
ECMDB01271,0.4463
ECMDB01273,0.9102
ECMDB01274,1.1988
ECMDB01285,1.9535
ECMDB01296,1.6129
ECMDB01308,1.8844
ECMDB01317,0.1493
ECMDB01328,3.9784
ECMDB01332,1.2863
ECMDB01341,2.4509
ECMDB01342,3.4713
ECMDB01346,1.8110
ECMDB01354,1.4984
ECMDB01367,0.5202
ECMDB01372,1.2317
ECMDB01373,4.0616
ECMDB01384,4.6572
ECMDB01391,4.1174
ECMDB01396,1.3843
ECMDB01397,0.1223
ECMDB01399,1.9071
ECMDB01409,1.0861
ECMDB01412,3.2539
ECMDB01416,2.2975
ECMDB01423,2.4378
ECMDB01439,1.4112
ECMDB01440,2.4325
ECMDB01487,1.1932
ECMDB01517,1.5215
ECMDB01520,0.7285
ECMDB01532,2.5155
ECMDB01546,1.1316
