Ligand,RMSD
ECMDB00045,1.2301
ECMDB00048,2.4501
ECMDB00055,1.0689
ECMDB00058,1.2484
ECMDB00061,1.5457
ECMDB00082,3.2931
ECMDB00095,0.7217
ECMDB00121,2.0074
ECMDB00125,1.4303
ECMDB00163,0.8622
ECMDB00186,0.5625
ECMDB00189,1.9380
ECMDB00217,2.9635
ECMDB00218,1.3434
ECMDB00229,1.1101
ECMDB00241,0.9489
ECMDB00244,1.3691
ECMDB00258,1.1329
ECMDB00280,1.9478
ECMDB00285,1.9903
ECMDB00288,1.2274
ECMDB00290,3.6892
ECMDB00293,2.4245
ECMDB00295,2.2061
ECMDB00302,3.2750
ECMDB00538,3.3540
ECMDB00570,1.2083
ECMDB00674,2.9572
ECMDB00797,1.9908
ECMDB00830,0.8359
ECMDB00902,2.7046
ECMDB00905,1.1653
ECMDB00939,1.8740
ECMDB00960,3.5080
ECMDB00961,1.5368
ECMDB00972,1.5520
ECMDB00975,1.0086
ECMDB00988,1.5758
ECMDB00998,2.1889
ECMDB00999,1.0485
ECMDB01000,1.6843
ECMDB01003,0.8723
ECMDB01044,1.0846
ECMDB01056,4.7883
ECMDB01058,1.8870
ECMDB01060,3.8837
ECMDB01062,0.7650
ECMDB01066,0.9923
ECMDB01079,1.7112
ECMDB01094,2.3359
ECMDB01095,3.4654
ECMDB01097,0.9384
ECMDB01117,1.8862
ECMDB01121,1.1699
ECMDB01124,1.3894
ECMDB01134,1.0604
ECMDB01142,1.4968
ECMDB01144,2.2392
ECMDB01163,2.3807
ECMDB01174,2.2362
ECMDB01178,1.9195
ECMDB01179,1.5718
ECMDB01185,3.1102
ECMDB01191,2.2697
ECMDB01193,2.9133
ECMDB01197,2.8783
ECMDB01201,3.3227
ECMDB01202,0.5734
ECMDB01227,0.7856
ECMDB01245,2.3518
ECMDB01248,1.3404
ECMDB01261,1.1998
ECMDB01262,1.1562
ECMDB01271,1.5557
ECMDB01273,3.2917
ECMDB01274,1.5964
ECMDB01285,1.2929
ECMDB01296,1.4374
ECMDB01308,1.3809
ECMDB01317,0.7072
ECMDB01328,3.1797
ECMDB01332,1.3677
ECMDB01341,1.2082
ECMDB01342,2.5060
ECMDB01346,2.8920
ECMDB01354,1.1628
ECMDB01367,0.6890
ECMDB01372,1.0438
ECMDB01373,5.1699
ECMDB01384,2.9711
ECMDB01391,2.2421
ECMDB01396,2.0779
