Ligand,RMSD
ECMDB00045,1.0552
ECMDB00048,0.6425
ECMDB00055,0.8808
ECMDB00058,0.5480
ECMDB00061,0.5383
ECMDB00082,2.4492
ECMDB00095,0.7151
ECMDB00121,1.9851
ECMDB00125,1.8214
ECMDB00163,1.4204
ECMDB00186,1.0538
ECMDB00189,2.4553
ECMDB00217,2.2342
ECMDB00218,1.0140
ECMDB00229,1.6795
ECMDB00241,0.5992
ECMDB00244,0.8169
ECMDB00258,0.8910
ECMDB00280,1.4014
ECMDB00285,1.2060
ECMDB00288,0.9163
ECMDB00290,3.6361
ECMDB00293,2.1139
ECMDB00295,2.2262
ECMDB00302,2.7429
ECMDB00538,1.3779
ECMDB00570,1.3558
ECMDB00674,2.1856
ECMDB00797,1.6798
ECMDB00830,1.0952
ECMDB00902,3.2730
ECMDB00905,1.3803
ECMDB00939,3.5962
ECMDB00960,1.3234
ECMDB00961,5.2434
ECMDB00972,1.8148
ECMDB00975,1.0705
ECMDB00988,1.7589
ECMDB00998,3.3043
ECMDB00999,0.7831
ECMDB01000,1.2677
ECMDB01003,2.4371
ECMDB01044,2.0409
ECMDB01056,2.7994
ECMDB01058,1.4241
ECMDB01060,3.3229
ECMDB01062,0.5953
ECMDB01066,1.3008
ECMDB01079,2.3720
ECMDB01094,7.2418
ECMDB01095,1.9740
ECMDB01097,0.8605
ECMDB01117,2.1554
ECMDB01121,1.5081
ECMDB01124,0.8990
ECMDB01134,1.4742
ECMDB01142,0.2523
ECMDB01144,3.9826
ECMDB01163,2.6852
ECMDB01174,2.4595
ECMDB01178,1.1101
ECMDB01179,1.9671
ECMDB01185,1.1050
ECMDB01191,1.2820
ECMDB01193,2.4051
ECMDB01197,2.5054
ECMDB01201,1.2830
ECMDB01202,0.8852
ECMDB01227,0.9368
ECMDB01245,0.8128
ECMDB01248,1.5152
ECMDB01261,1.2931
ECMDB01262,0.7189
ECMDB01271,1.2350
ECMDB01273,2.6467
ECMDB01274,2.1620
ECMDB01285,1.2385
ECMDB01296,1.8666
ECMDB01308,1.1876
ECMDB01317,1.3062
ECMDB01328,1.4472
ECMDB01332,1.4866
ECMDB01341,2.5191
ECMDB01342,2.2780
ECMDB01346,2.7798
ECMDB01354,0.8643
ECMDB01367,0.5433
ECMDB01372,3.4033
ECMDB01373,3.0213
ECMDB01384,3.2021
ECMDB01391,4.6480
ECMDB01396,1.2686
ECMDB01397,1.3709
ECMDB01399,1.3977
ECMDB01409,0.7703
ECMDB01412,0.8131
ECMDB01416,1.8203
ECMDB01423,3.9702
ECMDB01439,1.4704
ECMDB01440,3.4613
ECMDB01487,2.8236
ECMDB01517,1.5386
ECMDB01520,2.7106
ECMDB01532,3.2067
ECMDB01546,2.0484
ECMDB01550,1.6720
ECMDB01554,1.9926
ECMDB01562,2.9319
ECMDB01846,1.7341
ECMDB02158,1.1115
ECMDB02666,1.9712
ECMDB03266,2.9173
ECMDB03335,2.0689
ECMDB03419,3.9344
ECMDB03502,0.8097
ECMDB03514,1.3365
ECMDB03536,1.4778
ECMDB03540,1.3770
ECMDB03556,0.3794
ECMDB03826,0.2729
ECMDB03882,0.1618
ECMDB04007,1.7666
ECMDB04010,2.3591
ECMDB04033,1.3553
ECMDB04034,1.5156
ECMDB04052,0.5470
ECMDB04053,1.9216
ECMDB04063,2.2567
ECMDB04085,0.9318
ECMDB04108,0.8737
ECMDB04111,3.6268
ECMDB04117,2.5442
ECMDB04119,2.4466
ECMDB04120,2.3573
ECMDB04137,1.5651
ECMDB04138,3.4127
ECMDB04165,1.4281
ECMDB04166,2.2169
ECMDB04167,4.4689
ECMDB04168,4.6327
ECMDB04169,1.6007
ECMDB04171,3.0998
ECMDB04220,2.7043
ECMDB04662,2.4848
ECMDB06273,1.1459
ECMDB06354,3.6301
ECMDB06555,1.1002
ECMDB06557,1.5894
ECMDB06823,1.6078
ECMDB06834,1.2231
ECMDB06872,0.6454
ECMDB06876,1.7407
ECMDB07858,6.0572
ECMDB07859,3.3207
ECMDB07860,4.0037
ECMDB07861,2.3082
ECMDB07862,3.8310
ECMDB07863,4.4899
ECMDB07864,4.9788
ECMDB07865,3.7167
ECMDB08821,2.3568
ECMDB08824,2.5921
ECMDB08827,4.4031
ECMDB08920,5.0079
ECMDB08923,2.8087
ECMDB08924,4.7043
ECMDB08953,4.4344
ECMDB08956,2.5409
ECMDB08957,1.8900
ECMDB08959,3.7205
ECMDB09019,5.5599
ECMDB09022,2.3975
ECMDB09023,4.8420
ECMDB10573,6.4242
ECMDB10615,2.3382
ECMDB10616,2.7411
ECMDB10618,4.2503
ECMDB11145,2.8373
ECMDB11155,3.0984
ECMDB11156,5.3648
ECMDB11616,1.0014
ECMDB11629,1.4198
ECMDB11688,1.2026
ECMDB12277,2.4134
ECMDB12278,1.6654
ECMDB12330,3.2240
ECMDB12332,3.5792
ECMDB12333,3.4752
ECMDB12352,2.0196
ECMDB12363,2.5182
ECMDB12366,3.3297
ECMDB20003,1.2147
ECMDB20004,2.3327
ECMDB20006,2.0313
ECMDB20019,2.2966
ECMDB20024,2.5647
ECMDB20025,1.8030
ECMDB20026,3.1359
ECMDB20027,2.1482
ECMDB20033,1.2952
ECMDB20034,2.3391
ECMDB20035,2.1781
ECMDB20049,2.2944
ECMDB20050,1.6437
ECMDB20054,2.5641
ECMDB20055,2.0779
ECMDB20058,0.5923
ECMDB20059,2.5678
ECMDB20062,0.3999
ECMDB20068,2.0220
ECMDB20078,2.2552
ECMDB20079,1.4047
ECMDB20081,0.3859
ECMDB20083,2.1187
ECMDB20088,2.2634
ECMDB20096,3.2394
ECMDB20099,1.3261
ECMDB20106,0.7446
ECMDB20110,1.1594
ECMDB20112,2.1063
ECMDB20113,2.8386
ECMDB20117,0.7150
ECMDB20123,0.2773
ECMDB20133,3.5099
ECMDB20139,1.6438
ECMDB20145,0.9551
ECMDB20148,1.6038
ECMDB20154,1.3116
ECMDB20155,2.6817
ECMDB20156,1.4846
ECMDB20157,1.4131
ECMDB20158,1.3439
ECMDB20161,0.6636
ECMDB20170,3.0532
ECMDB20171,1.4954
ECMDB20174,1.1616
ECMDB20175,0.5766
ECMDB20177,1.1683
ECMDB20178,2.0096
ECMDB20186,1.7542
ECMDB20187,1.8752
ECMDB20188,2.3290
ECMDB20189,2.0705
