Ligand,RMSD
ECMDB00045,0.7333
ECMDB00048,0.2212
ECMDB00055,0.7446
ECMDB00058,0.0020
ECMDB00061,0.0909
ECMDB00082,3.5476
ECMDB00095,0.1059
ECMDB00121,0.2817
ECMDB00125,1.6235
ECMDB00163,0.0263
ECMDB00186,0.1454
ECMDB00189,1.2465
ECMDB00217,1.7687
ECMDB00218,0.1510
ECMDB00229,0.8122
ECMDB00241,0.6318
ECMDB00244,0.0301
ECMDB00258,0.5818
ECMDB00280,2.0113
ECMDB00285,1.0289
ECMDB00288,1.0555
ECMDB00290,3.3546
ECMDB00293,2.7138
ECMDB00295,1.5137
ECMDB00302,2.9927
ECMDB00538,0.7680
ECMDB00570,0.4145
ECMDB00674,2.3923
ECMDB00797,0.5293
ECMDB00830,1.0947
ECMDB00902,2.2230
ECMDB00905,1.1044
ECMDB00939,3.0699
ECMDB00960,1.6191
ECMDB00961,1.9379
ECMDB00972,0.1721
ECMDB00975,0.0295
ECMDB00988,1.4435
ECMDB00998,1.0145
ECMDB00999,0.6995
ECMDB01000,0.2362
ECMDB01003,0.1711
ECMDB01044,1.0713
ECMDB01056,0.9460
ECMDB01058,1.4840
ECMDB01060,3.6607
ECMDB01062,0.7732
ECMDB01066,0.9226
ECMDB01079,1.9604
ECMDB01094,2.4896
ECMDB01095,2.8661
ECMDB01097,0.0638
ECMDB01117,1.6859
ECMDB01121,0.0343
ECMDB01124,0.3045
ECMDB01134,1.1017
ECMDB01142,2.1423
ECMDB01144,3.5094
ECMDB01163,1.1948
ECMDB01174,1.4628
ECMDB01178,1.8569
ECMDB01179,3.6813
ECMDB01185,3.0840
ECMDB01191,0.5264
ECMDB01193,2.5590
ECMDB01197,3.1540
ECMDB01201,1.8435
ECMDB01202,0.2985
ECMDB01227,1.6248
ECMDB01245,0.6345
ECMDB01248,2.3324
ECMDB01261,0.9514
ECMDB01262,1.1464
ECMDB01271,1.1382
ECMDB01273,1.9553
ECMDB01274,2.1138
ECMDB01285,1.5681
ECMDB01296,1.7245
ECMDB01308,0.5183
ECMDB01317,1.4876
ECMDB01328,3.8759
ECMDB01332,1.3423
ECMDB01341,1.2104
ECMDB01342,2.4081
ECMDB01346,2.1919
ECMDB01354,0.4988
ECMDB01367,0.1734
ECMDB01372,0.7964
ECMDB01373,4.8523
ECMDB01384,2.7652
ECMDB01391,0.0402
ECMDB01396,1.0965
ECMDB01397,0.3642
ECMDB01399,3.9548
ECMDB01409,0.9192
ECMDB01412,0.7489
ECMDB01416,0.2983
ECMDB01423,1.6112
ECMDB01439,1.3053
ECMDB01440,0.7780
ECMDB01487,4.1188
ECMDB01517,1.5222
ECMDB01520,2.2227
ECMDB01532,1.3487
ECMDB01546,1.9700
ECMDB01550,1.2183
ECMDB01554,1.0107
ECMDB01562,0.7204
ECMDB01846,0.6562
ECMDB02158,1.1700
ECMDB02666,0.4731
ECMDB03266,3.4677
ECMDB03335,0.6214
ECMDB03419,5.5781
ECMDB03502,0.1661
ECMDB03514,1.3727
ECMDB03536,1.4750
ECMDB03540,0.6444
ECMDB03556,0.0066
ECMDB03826,1.2685
ECMDB03882,0.1159
ECMDB04007,0.1254
ECMDB04010,0.1383
ECMDB04033,2.3666
ECMDB04034,1.5540
ECMDB04052,0.0180
ECMDB04053,0.2065
ECMDB04063,2.5576
ECMDB04085,0.2712
ECMDB04108,0.1381
ECMDB04111,1.5549
ECMDB04117,5.3109
ECMDB04119,5.7898
ECMDB04120,2.5630
ECMDB04137,1.6388
ECMDB04138,2.0372
ECMDB04165,0.6279
ECMDB04166,2.7681
ECMDB04167,3.1077
ECMDB04168,1.2520
ECMDB04169,1.8407
ECMDB04171,2.4118
ECMDB04220,2.7393
ECMDB04662,1.1799
ECMDB06273,0.4100
ECMDB06354,0.0819
ECMDB06555,0.0417
ECMDB06557,1.0019
ECMDB06823,2.8971
