Ligand,RMSD
ECMDB00045,0.5228
ECMDB00048,0.2065
ECMDB00055,1.5946
ECMDB00058,1.1727
ECMDB00061,1.1863
ECMDB00082,1.0324
ECMDB00095,0.6452
ECMDB00121,2.7478
ECMDB00125,1.3823
ECMDB00163,0.8808
ECMDB00186,1.0563
ECMDB00189,2.6470
ECMDB00217,4.5040
ECMDB00218,0.1092
ECMDB00229,1.1544
ECMDB00241,0.5629
ECMDB00244,0.8725
ECMDB00258,0.0156
ECMDB00280,1.8113
ECMDB00285,2.7484
ECMDB00288,0.0114
ECMDB00290,1.6896
ECMDB00293,0.7264
ECMDB00295,2.0672
ECMDB00302,2.2192
ECMDB00538,0.5385
ECMDB00570,1.3354
ECMDB00674,2.6939
ECMDB00797,1.3331
ECMDB00830,0.4909
ECMDB00902,2.8546
ECMDB00905,1.2279
ECMDB00939,0.4298
ECMDB00960,2.2331
ECMDB00961,1.8784
ECMDB00972,0.6568
ECMDB00975,0.0643
ECMDB00988,0.0689
ECMDB00998,0.6361
ECMDB00999,1.2434
ECMDB01000,1.9839
ECMDB01003,1.2953
ECMDB01044,2.4699
ECMDB01056,5.4758
ECMDB01058,0.5356
ECMDB01060,2.3931
ECMDB01062,0.0138
ECMDB01066,1.9451
ECMDB01079,2.1918
ECMDB01094,2.8220
ECMDB01095,0.4938
ECMDB01097,0.6540
ECMDB01117,2.4625
ECMDB01121,0.2211
ECMDB01124,0.2745
ECMDB01134,0.1176
ECMDB01142,3.2140
ECMDB01144,1.7845
ECMDB01163,3.0361
ECMDB01174,1.9064
ECMDB01178,2.6668
ECMDB01179,2.9841
ECMDB01185,1.2674
ECMDB01191,0.1389
ECMDB01193,2.2862
ECMDB01197,4.6699
ECMDB01201,2.0542
ECMDB01202,0.0416
ECMDB01227,1.2606
ECMDB01245,1.3638
ECMDB01248,2.0567
ECMDB01261,1.2405
ECMDB01262,0.0843
ECMDB01271,0.0737
ECMDB01273,2.6851
ECMDB01274,1.7882
ECMDB01285,1.3214
ECMDB01296,0.2225
ECMDB01308,0.1155
ECMDB01317,0.0929
ECMDB01328,2.7133
ECMDB01332,0.7832
ECMDB01341,2.0669
ECMDB01342,1.6926
ECMDB01346,3.2896
ECMDB01354,1.2062
ECMDB01367,0.1392
ECMDB01372,2.9020
ECMDB01373,3.1508
ECMDB01384,0.5596
ECMDB01391,3.2092
ECMDB01396,1.3266
ECMDB01397,2.1616
ECMDB01399,2.3990
ECMDB01409,0.1826
ECMDB01412,0.8917
ECMDB01416,1.6970
ECMDB01423,2.5730
ECMDB01439,0.4125
ECMDB01440,2.5627
ECMDB01487,2.7695
ECMDB01517,0.0271
ECMDB01520,2.6860
ECMDB01532,2.8347
ECMDB01546,1.6597
ECMDB01550,1.1166
ECMDB01554,1.2821
ECMDB01562,2.8978
ECMDB01846,1.2976
ECMDB02158,0.4172
ECMDB02666,0.6820
ECMDB03266,1.5443
ECMDB03335,1.8838
ECMDB03419,4.7063
ECMDB03502,0.7298
ECMDB03514,0.0659
ECMDB03536,3.6367
ECMDB03540,0.5930
ECMDB03556,1.3992
ECMDB03826,2.0269
ECMDB03882,0.6922
ECMDB04007,1.2043
ECMDB04010,1.6880
ECMDB04033,0.7150
ECMDB04034,0.5435
ECMDB04052,0.0581
ECMDB04053,1.3685
ECMDB04063,2.9285
ECMDB04085,0.0823
ECMDB04108,0.5062
ECMDB04111,0.9690
ECMDB04117,2.6372
ECMDB04119,2.9265
ECMDB04120,3.1606
ECMDB04137,0.4382
ECMDB04138,2.4895
ECMDB04165,2.6688
ECMDB04166,0.5650
ECMDB04167,0.5264
ECMDB04168,4.6336
ECMDB04169,1.2347
ECMDB04171,3.1264
ECMDB04220,1.1463
ECMDB04662,1.8533
ECMDB06273,0.0559
ECMDB06354,1.7652
ECMDB06555,2.2364
ECMDB06557,0.6904
ECMDB06823,2.2153
ECMDB06834,1.1722
ECMDB06872,0.4950
ECMDB06876,2.0229
