Protein,GDT_TS,MW,Mean,StDev
T1029,45.2,16.64607,0.481509245,0.012370708
T1027,61.11,21.21952,0.396801599,0.017360473
T1030,63.55,35.63474,0.229885057,0.017263094
T1032,69.12,22.28338,0.429035482,0.006105343
T1040,72.11,17.50462,0.403798101,0.003773031
T1099,80.34,25.27729,0.316591704,0.013248092
T1039,82.3,21.78675,0.323838081,0.006535081
T1073,83.9,7.96196,0.414042979,0.014190176
T1043,84.12,19.47419,0.314342829,0.01501747
T1080,85.9,15.89001,0.451774113,0.004760759
T1050,86.28,100.25253,0.3005997,0.011540333
T1038,87.37,24.3446,0.437781109,0.02212347
T1033,87.5,13.55327,0.502748626,0.012483754
T1031,87.63,12.84981,0.363568216,0.009916609
T1042,89.49,36.79513,0.311344328,0.003120939
T1067,90.39,29.09957,0.37906047,0.007508735
T1090,90.48,24.93625,0.401549225,0.005725357
T1041,90.7,31.78114,0.430784608,0.009372813
T1037,90.72,52.71265,0.297601199,0.008837951
T1074,91.1,16.91917,0.467516242,0.004128614
T1079,92.18,64.50207,0.367316342,0.007150969
T1054,92.66,18.19002,0.351824088,0.0080155
T1049,93.28,17.00443,0.539730135,0.014360753
T1026,93.84,18.64685,0.437281359,0.012187655
T1082,96,10.01291,0.374812594,0.017912748
T1046s2,96.45,18.78234,0.555972014,0.008752764
T1035,96.81,13.50289,0.413293353,0.011352141
T1046s1,97.57,9.84068,0.510744628,0.013930395
T1056,98.08,22.21266,0.432783608,0.012904299
