Protein,1-2,1-3,2-3
T1029,0.10199164505638336,0.10153418762163113,0.10108205110635282
T1027,0.10085407428856419,0.10128067904862093,0.10113420012406937
T1030,0.10151485572787244,0.1018041799862015,0.10269771045044918
T1032,0.10209800580189698,0.10176008797771896,0.10162305180637121
T1040,0.10175075097297182,0.1017868024843338,0.10209800580189698
T1099,0.10220436654741061,0.10215402086341996,0.10215402086341996
T1039,0.10294659341343104,0.10375396289539163,0.10412540067421583
T1073,0.10408403304356462,0.1040364498631896,0.10395675079903377
T1043,0.10389395541507929,0.10389395541507929,0.10395675079903377
T1080,0.10395675079903377,0.10395675079903377,0.1040364498631896
T1050,0.10398217021562539,0.1040364498631896,0.10398217021562539
T1038,0.10397073300832949,0.10399166164173579,0.10408263556410402
T1033,0.10395675079903377,0.10360441142369003,0.10345482032770015
T1031,0.1034299154532885,0.1034299154532885,0.1035255474191148
T1042,0.10363745321126228,0.10376449686058309,0.10396878722714398
T1067,0.103972678789515,0.10408403304356462,0.10438758701568629
T1090,0.10438985176553839,0.10441801522221361,0.10444862631996132
T1041,0.10412540067421583,0.10407341073998166,0.10399166164173579
T1037,0.10408403304356462,0.10475079438051793,0.10499551101366578
T1074,0.1049629912680996,0.10460093417077587,0.10460093417077587
T1079,0.10497782344588913,0.10530910439510066,0.1058158542494585
T1054,0.10592198321449597,0.10610031996067626,0.10615996998965382
T1049,0.10572455249981516,0.10531658278269873,0.10498666722977745
T1026,0.10445107396103381,0.10441801522221361,0.10438985176553839
T1082,0.10438758701568629,0.10456303033867842,0.10437035412139117
T1046s2,0.10395675079903377,0.10345482032770015,0.10281993861767802
T1035,0.10243130639100029,0.10233059399284494,0.10197644824819418
T1046s1,0.10176650519555563,0.10175075097297182,0.10175716819080849
T1056,0.10188271571310326,0.10233059399284494,0.10274132381002188
