Protein,GDT_TS,MW,Mean,StDev
T1029,45.2,16.64607,0.383558221,0.001560469
T1027,61.11,21.21952,0.463268366,0.015381023
T1030,63.55,35.63474,0.222638681,0.008645099
T1032,69.12,22.28338,0.380809595,0.02347895
T1040,72.11,17.50462,0.467266367,0.003120939
T1099,80.34,25.27729,0.309095452,0.01415052
T1039,82.3,21.78675,0.319090455,0.004580286
T1073,83.9,7.96196,0.536481759,0.026717943
T1043,84.12,19.47419,0.43928036,0.014765904
T1080,85.9,15.89001,0.390804598,0.006718805
T1050,86.28,100.25253,0.327586207,0.008245877
T1038,87.37,24.3446,0.402048976,0.002838035
T1033,87.5,13.55327,0.507246377,0.018136179
T1031,87.63,12.84981,0.390554723,0.021583478
T1042,89.49,36.79513,0.356321839,0.003846778
T1067,90.39,29.09957,0.353573213,0.014170362
T1090,90.48,24.93625,0.443778111,0.033364637
T1041,90.7,31.78114,0.50049975,0.012904299
T1037,90.72,52.71265,0.259370315,0.005405624
T1074,91.1,16.91917,0.473763118,0.012809601
T1079,92.18,64.50207,0.347076462,0.009745127
T1054,92.66,18.19002,0.449775112,0.004559792
T1049,93.28,17.00443,0.362318841,0.011475225
T1026,93.84,18.64685,0.464017991,0.007382952
T1082,96,10.01291,0.467266367,0.013520989
T1046s2,96.45,18.78234,0.539230385,0.009550982
T1035,96.81,13.50289,0.409295352,0.011042669
T1046s1,97.57,9.84068,0.488255872,0.016514454
T1056,98.08,22.21266,0.474512744,0.032442406
